orgao_superior_codigo_siorg,orgao_superior_nome,orgao_nome,ano_mes_referencia,sigla_codigo_cargo_comissao,cargos_distribuidos,cargos_ocupados,cargos_vagos
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,2,2,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,3,3,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,3,3,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,5,3,2
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,5,4,1
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,8,5,3
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,12,9,3
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,16,12,4
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Função Gratificada,26,19,7
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Função Gratificada,7,6,1
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Função Gratificada,3,3,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Ministro de Estado,1,1,0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Cargo de Natureza Especial,3,3,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Direção e Assessoramento Superiores,1,1,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Direção e Assessoramento Superiores,10,9,1
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Direção e Assessoramento Superiores,15,15,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Direção e Assessoramento Superiores,3,3,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Direção e Assessoramento Superiores,4,4,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Direção e Assessoramento Superiores,4,3,1
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Direção e Assessoramento Superiores,6,5,1
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Funções Comissionadas do Poder Executivo,1,1,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Funções Comissionadas do Poder Executivo,4,3,1
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Funções Comissionadas do Poder Executivo,4,4,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Funções Comissionadas do Poder Executivo,2,2,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Função Gratificada,7,4,3
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA ESPACIAL BRASILEIRA,202110,Cargo de Natureza Especial,1,1,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,202110,Comissionado de Assessoria,3,3,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,202110,Comissionado de Assessoria,19,20,-1
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,202110,Comissionado de Assessoria,3,3,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,202110,Cargo Comissionado de Assistência,2,2,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,202110,Cargo Comissionado de Assistência,1,2,-1
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,202110,Cargo Comissionado de Direção,1,1,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,202110,Cargo Comissionado de Direção,4,4,0
