cod_siorg,orgao_superior,orgao_administrativo,ano_mes_referencia,cargo_comissao,cargos_distribuidos,cargos_ocupados,cargos_vagos,porcentagem_cargos_ocupados,porcentagem_cargos_vagos
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,57,50,7,87.71929824561404,12.280701754385966
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,177,114,63,64.40677966101696,35.59322033898305
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,83,46,37,55.42168674698795,44.57831325301205
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Função Gratificada,543,393,150,72.37569060773481,27.624309392265193
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Função Gratificada,194,128,66,65.97938144329896,34.02061855670103
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Função Gratificada,163,108,55,66.25766871165644,33.74233128834356
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Ministro de Estado,1,1,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Cargo de Natureza Especial,2,2,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,10,10,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,49,48,1,97.95918367346938,2.0408163265306123
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,107,104,3,97.19626168224299,2.803738317757009
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,113,109,4,96.46017699115045,3.5398230088495577
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,45,40,5,88.88888888888889,11.11111111111111
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,19,19,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,4,4,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,41,41,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,71,70,1,98.59154929577464,1.408450704225352
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,56,52,4,92.85714285714286,7.142857142857143
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,9,9,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,3,3,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,3,3,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,6,6,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Direção e Assessoramento Superiores,9,9,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,3,3,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,39,33,6,84.61538461538461,15.384615384615385
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,55,52,3,94.54545454545455,5.454545454545454
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,37,32,5,86.48648648648648,13.513513513513514
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,1,1,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,11,11,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,24,23,1,95.83333333333333,4.166666666666667
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,12,10,2,83.33333333333333,16.666666666666668
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas do Poder Executivo,1,1,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,1,1,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,2,2,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,3,3,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,3,3,0,100.0,0.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,5,3,2,60.0,40.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,5,4,1,80.0,20.0
235874,MINISTÉRIO DA CIDADANIA,MINISTÉRIO DA CIDADANIA,202110,Funções Comissionadas Técnicas,8,5,3,62.5,37.5
